COUNTRY,ISO_A3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,Total_First_Vaccination,TOTAL_VACCINATIONS_PER100,Rate_First_Vaccination,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Australia,AUS,WPRO,REPORTING,2023-10-05,6.8770769E7,2.2443557E7,270.0,88.0,2.176624E7,85.0,,2021-02-21,,1.4405773E7,56.0
Singapore,SGP,WPRO,REPORTING,2023-08-29,1.530253E7,5287005.0,262.0,90.0,5248693.0,90.0,,2020-12-30,,4769158.0,82.0
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667.0,1951054.0,135.0,83.0,1663490.0,71.0,,2021-03-26,,507654.0,22.0
Portugal,PRT,EURO,REPORTING,2023-10-01,2.7879893E7,9822021.0,271.0,95.0,8910340.0,87.0,,2020-12-23,,7086988.0,69.0
Myanmar,MMR,SEARO,REPORTING,2023-08-21,9.3477104E7,4.1551927E7,172.0,76.0,3.5937796E7,66.0,,2021-01-27,,1.5987381E7,29.0
Senegal,SEN,AFRO,REPORTING,2023-11-12,3179647.0,2684696.0,19.0,16.0,1546628.0,9.0,,2021-02-23,,815965.0,5.0
Dominica,DMA,AMRO,REPORTING,2023-06-02,67647.0,32995.0,94.0,46.0,30659.0,43.0,,2021-02-12,,3993.0,6.0
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371.0,168.0,67.0,184801.0,65.0,,2021-01-20,,103325.0,36.0
Nicaragua,NIC,AMRO,REPORTING,2023-08-11,1.5507763E7,6404524.0,234.0,97.0,6126708.0,92.0,,2021-03-03,,2892531.0,44.0
Indonesia,IDN,SEARO,REPORTING,2023-11-23,4.4819986E8,2.04419394E8,164.0,75.0,1.74965137E8,64.0,,2021-01-13,,6.935625E7,25.0
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692.0,195688.0,176.0,70.0,195688.0,70.0,,2021-01-18,,102317.0,36.0
Iceland,ISL,EURO,REPORTING,2023-04-16,869976.0,307269.0,239.0,84.0,297921.0,82.0,,2020-12-30,,254556.0,70.0
Jamaica,JAM,AMRO,REPORTING,2023-10-06,1528445.0,722248.0,52.0,24.0,760132.0,26.0,,2021-03-10,,46065.0,2.0
Turkmenistan,TKM,EURO,REPORTING,2023-08-06,1.677597E7,4614869.0,278.0,77.0,4568901.0,76.0,,2021-02-24,,3816400.0,63.0
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342.0,2203.0,470.0,100.0,2203.0,100.0,,2021-07-20,,968.0,72.0
San Marino,SMR,EURO,REPORTING,2022-05-22,69338.0,26357.0,204.0,78.0,23633.0,70.0,,2021-02-24,,19348.0,57.0
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900.0,184.0,84.0,81474.0,68.0,,2021-05-26,,37606.0,31.0
Poland,POL,EURO,REPORTING,2023-10-01,5.824057E7,2.2984543E7,153.0,61.0,2.2705868E7,60.0,,2020-12-23,,1.2534539E7,33.0
Lithuania,LTU,EURO,REPORTING,2023-10-01,4532726.0,1956489.0,162.0,70.0,1907062.0,68.0,,2020-12-23,,902114.0,32.0
Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097.0,1014073.0,63.0,47.0,938088.0,44.0,,2021-03-10,,177816.0,8.0
China,CHN,WPRO,REPORTING,2023-04-20,3.516880717E9,1.318026807E9,239.0,90.0,1.284479582E9,87.0,,2020-07-22,,8.34060133E8,57.0
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-08-25,1.610454E7,6506721.0,138.0,56.0,6307628.0,54.0,,2021-01-30,,2521192.0,22.0
Latvia,LVA,EURO,REPORTING,2023-08-13,2979624.0,1344386.0,156.0,70.0,1304787.0,68.0,,2020-12-30,,550901.0,29.0
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558.0,88520.0,228.0,90.0,83565.0,85.0,,2021-01-10,,44936.0,46.0
Monaco,MCO,EURO,REPORTING,2022-12-04,71027.0,28875.0,181.0,74.0,24933.0,64.0,,2021-06-30,,17806.0,45.0
Albania,ALB,EURO,REPORTING,2023-09-10,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,,2021-01-13,,402371.0,14.0
Chile,CHL,AMRO,REPORTING,2023-11-17,6.6860038E7,1.7538744E7,350.0,92.0,1.7721847E7,93.0,,2020-12-21,,1.5779147E7,83.0
Kuwait,KWT,EMRO,REPORTING,2023-11-26,8261221.0,3457498.0,193.0,81.0,3346176.0,78.0,,2020-12-28,,1457547.0,34.0
Belize,BLZ,AMRO,REPORTING,2023-10-06,511002.0,236221.0,129.0,59.0,221454.0,56.0,,2021-03-01,,53189.0,13.0
South Sudan,SSD,AFRO,REPORTING,2023-10-01,4365547.0,4315127.0,39.0,39.0,4273253.0,38.0,,2021-04-06,,513122.0,5.0
Bermuda,BMU,AMRO,REPORTING,2023-08-11,136759.0,48554.0,220.0,78.0,47657.0,77.0,,2021-01-11,,32016.0,51.0
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940.0,356734.0,155.0,64.0,308720.0,56.0,,2021-03-18,,749.0,
Costa Rica,CRI,AMRO,REPORTING,2023-10-06,1.3576935E7,4650636.0,267.0,91.0,4369784.0,86.0,,2020-12-24,,2986527.0,59.0
Panama,PAN,AMRO,REPORTING,2023-10-06,9169341.0,3746041.0,213.0,87.0,3175368.0,74.0,,2021-01-20,,1770362.0,41.0
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950.0,943394.0,59.0,29.0,846080.0,26.0,,,,,
Serbia,SRB,EURO,REPORTING,2023-03-05,6722671.0,3398116.0,97.0,49.0,3324555.0,48.0,,2020-12-23,,,
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080.0,15112.0,228.0,86.0,14728.0,84.0,,2021-05-17,,10240.0,58.0
Cuba,CUB,AMRO,REPORTING,2023-11-17,3.8217146E7,9916126.0,337.0,88.0,1.0037942E7,89.0,,,,8778841.0,78.0
